Substrate,Products,Kinetic Law, Modifiers, Parameters
,tp100,Hill Promotion Induction NFkB four,RelAnp50n RelAnp52n cRelnp50n cRelnp52n,basal_p100Synth k1_p100Synth Kd1_p100Synth k2_p100Synth Kd2_p100Synth k3_p100Synth Kd3_p100Synth k4_p100Synth Kd4_p100Synth kh_p100Synth delay_p100Synth scale_p100
,tcRel,Hill Promotion Induction NFkB four,RelAnp50n RelAnp52n cRelnp50n cRelnp52n,basal_cRelSynth k1_cRelSynth Kd1_cRelSynth k2_cRelSynth Kd2_cRelSynth k3_cRelSynth Kd3_cRelSynth k4_cRelSynth Kd4_cRelSynth kh_cRelSynth delay_cRelSynth scale_ind
tRelA,,Mass Action,,k_tRelAdeg
tp50,,Mass Action,,k_tp50deg
tRelB,,Mass Action,,k_tRelBdeg
tp100,,Mass Action,,k_tp100deg
tcRel,,Mass Action,,k_tcReldeg
tRelA,tRelA RelA,Mass Action,,k_monTsl
tp50,tp50 p50,Mass Action,,k_monTsl
tRelB,tRelB RelB,Mass Action,,k_monTsl
tp100,tp100 p100,Mass Action,,k_monTsl
tcRel,tcRel cRel,Mass Action,,k_monTsl
RelA,,Mass Action,,k_monDeg
p50,,Mass Action,,k_monDeg
RelB,,Mass Action,,k_monDeg
p100,,Mass Action,,k_monDeg
p52,,Mass Action,,k_monDeg
cRel,,Mass Action,,k_monDeg
RelAn,,Mass Action,,k_monDeg
p50n,,Mass Action,,k_monDeg
RelBn,,Mass Action,,k_monDeg
p100n,,Mass Action,,k_monDeg
p52n,,Mass Action,,k_monDeg
cReln,,Mass Action,,k_monDeg
,NIK,Constant Rate,,k_NIKSynth
NIK,,Mass Action NIK,,k_NIKConstDeg nik_deg_mod
p100 p100,IkBd,Mass Action Binding,,k_p100Dimerization
p100n p100n,IkBdn,Mass Action Binding,,k_p100Dimerization
IkBd,p100 p100,Mass Action,,k_p100Dissociation
IkBdn,p100n p100n,Mass Action,,k_p100Dissociation
p100 NIK,p100NIK,Mass Action,,k_onNIKp100
p100NIK,p100 NIK,Mass Action,,k_offNIKp100
p100NIK,NIK p52,Mass Action,,k_NIKp100Processing
IkBd NIK,IkBdNIK,Mass Action,,k_onNIKp100
IkBdNIK,IkBd NIK,Mass Action,,k_offNIKp100
IkBdNIK,NIK,Mass Action,,k_NIKDeltaDeg
RelAp50IkBd NIK,RelAp50IkBdNIK,Mass Action,,k_onNIKp100
RelBp50IkBd NIK,RelBp50IkBdNIK,Mass Action,,k_onNIKp100
RelBp52IkBd NIK,RelBp52IkBdNIK,Mass Action,,k_onNIKp100
cRelp50IkBd NIK,cRelp50IkBdNIK,Mass Action,,k_onNIKp100
cRelp52IkBd NIK,cRelp52IkBdNIK,Mass Action,,k_onNIKp100
RelAp52IkBd NIK,RelAp52IkBdNIK,Mass Action,,k_onNIKp100
RelAp50IkBdNIK,RelAp50IkBd NIK,Mass Action,,k_offNIKp100
RelBp50IkBdNIK,RelBp50IkBd NIK,Mass Action,,k_offNIKp100
RelBp52IkBdNIK,RelBp52IkBd NIK,Mass Action,,k_offNIKp100
cRelp50IkBdNIK,cRelp50IkBd NIK,Mass Action,,k_offNIKp100
cRelp52IkBdNIK,cRelp52IkBd NIK,Mass Action,,k_offNIKp100
RelAp52IkBdNIK,RelAp52IkBd NIK,Mass Action,,k_offNIKp100
RelAp50IkBdNIK,RelAp50 NIK,Mass Action,,k_NIKDeltaDeg
RelBp50IkBdNIK,RelBp50 NIK,Mass Action,,k_NIKDeltaDeg
RelBp52IkBdNIK,RelBp52 NIK,Mass Action,,k_NIKDeltaDeg
cRelp50IkBdNIK,cRelp50 NIK,Mass Action,,k_NIKDeltaDeg
cRelp52IkBdNIK,cRelp52 NIK,Mass Action,,k_NIKDeltaDeg
RelAp52IkBdNIK,RelAp52 NIK,Mass Action,,k_NIKDeltaDeg
RelAp50IkBdNIK,RelAp50IkBd,Mass Action NIK,,k_NIKConstDeg nik_deg_mod
RelBp50IkBdNIK,RelBp50IkBd,Mass Action NIK,,k_NIKConstDeg nik_deg_mod
RelBp52IkBdNIK,RelBp52IkBd,Mass Action NIK,,k_NIKConstDeg nik_deg_mod
cRelp50IkBdNIK,cRelp50IkBd,Mass Action NIK,,k_NIKConstDeg nik_deg_mod
cRelp52IkBdNIK,cRelp52IkBd,Mass Action NIK,,k_NIKConstDeg nik_deg_mod
RelAp52IkBdNIK,RelAp52IkBd,Mass Action NIK,,k_NIKConstDeg nik_deg_mod
IkBdNIK,IkBd,Mass Action NIK,,k_NIKConstDeg nik_deg_mod
p100NIK,p100,Mass Action NIK,,k_NIKConstDeg nik_deg_mod
RelAp50IkBdNIK,IkBdNIK,Mass Action,,k_NFkBDeg
RelBp50IkBdNIK,IkBdNIK,Mass Action,,k_NFkBDeg
RelBp52IkBdNIK,IkBdNIK,Mass Action,,k_NFkBDeg
cRelp50IkBdNIK,IkBdNIK,Mass Action,,k_NFkBDeg
cRelp52IkBdNIK,IkBdNIK,Mass Action,,k_NFkBDeg
RelAp52IkBdNIK,IkBdNIK,Mass Action,,k_NFkBDeg
RelAp50IkBdNIK,RelAp50 NIK,Mass Action,,k_IkBDeg
RelBp50IkBdNIK,RelBp50 NIK,Mass Action,,k_IkBDeg
RelBp52IkBdNIK,RelBp52 NIK,Mass Action,,k_IkBDeg
cRelp50IkBdNIK,cRelp50 NIK,Mass Action,,k_IkBDeg
cRelp52IkBdNIK,cRelp52 NIK,Mass Action,,k_IkBDeg
RelAp52IkBdNIK,RelAp52 NIK,Mass Action,,k_IkBDeg
